NameMix,FullName,Gender,Birth Year,Start Year,End Year,Race,Degree,Major,PreFed_clean,SaltFresh
Philip N. Jefferson,Philip N. Jefferson,1.0,,2022.0,9999.0,NW,PhD,Economics,,2.0
Delos C. Johns,Delos C. Johns,1.0,1899.0,1951.0,1962.0,W,JD,Law,Law/Legal,
Manuel H. Johnson,Manuel H. Johnson,1.0,1949.0,1986.0,1990.0,W,PhD,Economics,Academic Economist,3.0
Jerry L Jordan,Jerry L Jordan,1.0,1941.0,1992.0,2003.0,W,PhD,Economics,Banking/Finance/Fed,2.0
William S. Mclarin Jr.,William S. Mclarin Jr.,1.0,1889.0,1941.0,1951.0,W,None/unknown,,Other,
"James K. Vardaman, Jr.","James K. Vardaman, Jr.",1.0,1894.0,1946.0,1958.0,W,None/unknown,Law,Military,
"ALl. Mills, Jr.","ALl. Mills, Jr.",1.0,1898.0,1952.0,1965.0,W,Bachelor's,,Banking/Finance/Fed,
William McChesney Martin Jr.,William McChesney Martin Jr.,1.0,1906.0,1951.0,1970.0,W,Bachelor's,,Government/Public Service,
Hugh D. Galusha Jr.,Hugh D. Galusha Jr.,1.0,1919.0,1965.0,1971.0,W,Bachelor's,,Law/Legal,
"G. H. King, Jr.","G. H. King, Jr.",1.0,1920.0,1959.0,1963.0,W,Bachelor's,,Business/Industry,
Edward W. Kelley Jr.,Edward W. Kelley Jr.,1.0,1932.0,1987.0,2001.0,W,Master's,Business,Business/Industry,
J. Alfred Broaddus Jr.,J. Alfred Broaddus Jr.,1.0,1939.0,1993.0,2004.0,W,PhD,Economics,Professional Economist,3.0
Robert D. Mcteer Jr.,Robert D. Mcteer Jr.,1.0,1943.0,1991.0,2004.0,W,PhD,Economics,Professional Economist,3.0
"David W. Mullins, Jr.","David W. Mullins, Jr.",1.0,1946.0,1990.0,1994.0,W,PhD,Economics,Professional Economist,1.0
Roger W. Ferguson Jr.,Roger W. Ferguson Jr.,1.0,1951.0,1997.0,2006.0,NW,PhD,Economics,Law/Legal,1.0
"Philip C. Jackson, Jr.","Philip C. Jackson, Jr.",1.0,,1975.0,1978.0,W,Bachelor's,,Banking/Finance/Fed,
Robert Steven Kaplan,Robert Steven Kaplan,1.0,1957.0,2015.0,2021.0,W,Master's,Business,Banking/Finance/Fed,
Neel Kashkari,Neel Kashkari,1.0,1973.0,2016.0,9999.0,NW,Master's,Engineering/STEM,Banking/Finance/Fed,
Silas Keehn,Silas Keehn,1.0,1930.0,1981.0,1994.0,W,Master's,Business,Banking/Finance/Fed,
Kelley,,1.0,1932.0,-9999.0,9999.0,,None/unknown,Business,Business/Industry,
Monroe Kimbrel,Monroe Kimbrel,1.0,1916.0,1968.0,1980.0,W,Bachelor's,Business,Banking/Finance/Fed,
Narayana Kocherlakota,Narayana Kocherlakota,1.0,1963.0,2009.0,2015.0,NW,PhD,Economics,Professional Economist,2.0
Donald L. Kohn,Donald L. Kohn,1.0,1942.0,2002.0,2010.0,W,PhD,Economics,Professional Economist,1.0
Randall S. Kroszner,Randall S. Kroszner,1.0,1962.0,2006.0,2009.0,W,PhD,Economics,Academic Economist,1.0
Kugler,,0.0,,-9999.0,9999.0,,PhD,,,
LaWare,,1.0,1928.0,-9999.0,9999.0,,None/unknown,Political Science/Public Policy,Banking/Finance/Fed,
Jeffrey M. Lacker,Jeffrey M. Lacker,1.0,1955.0,2004.0,2017.0,W,PhD,Economics,Professional Economist,1.0
John P. Laware,John P. Laware,1.0,1928.0,1988.0,1995.0,W,Master's,Political Science/Public Policy,Banking/Finance/Fed,
Hugh Leach,Hugh Leach,1.0,1894.0,1936.0,1961.0,W,Bachelor's,,Other,
H. Gavin Leedy,H. Gavin Leedy,1.0,1892.0,1941.0,1961.0,W,None/unknown,Law,Law/Legal,
David M. Lilly,David M. Lilly,1.0,1917.0,1976.0,1978.0,W,Bachelor's,Economics,Business/Industry,
Lawrence B. Lindsey,Lawrence B. Lindsey,1.0,1954.0,1991.0,1997.0,W,PhD,Economics,Academic Economist,1.0
Dennis P. Lockhart,Dennis P. Lockhart,1.0,1947.0,2007.0,2017.0,W,Master's,Other,Banking/Finance/Fed,
Lorie Logan,Lorie Logan,0.0,1972.0,2022.0,9999.0,W,Master's,Political Science/Public Policy,,
Logan,,0.0,,-9999.0,9999.0,,None/unknown,,,
MacLaury,,1.0,1931.0,-9999.0,9999.0,,PhD,Economics,Banking/Finance/Fed,1.0
Bruce K. Maclaury,Bruce K. Maclaury,1.0,1931.0,1971.0,1977.0,W,Master's,Economics,Professional Economist,
Sherman J. Maisel,Sherman J. Maisel,1.0,1918.0,1965.0,1972.0,W,PhD,Economics,Academic Economist,1.0
